# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.000000,0.293857,-0.000000,-0.000000,-0.673701,0.770802,-0.383396,0.090818,-0.008001,0.049141,0.000000,0.000000,2.441003,-4.558577,3.344633,-1.121660,0.142991,0.699904,-0.000000,-0.000000,0.002199,-0.002697,0.000462,0.000424,-0.000128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-0.243395,-0.237902,0.204911,0.207131,-0.343860,0.246026,-0.085477,0.011221,0.184765,-0.310634,-0.297753,0.366992,-0.032011,-0.177327,0.112964,-0.020598,0.699881,0.001095,0.001134,-0.004776,0.001819,0.002010,-0.001513,0.000275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.094299,0.361179,-0.097041,-0.095465,0.082118,-0.072859,0.032520,-0.004972,-0.285001,0.153156,0.219609,-0.442549,0.803304,-0.652913,0.232649,-0.030676,0.700148,-0.000124,-0.001621,0.001904,0.000341,-0.001055,0.000382,-0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.092008,-0.357222,-0.064240,0.065890,0.044817,-0.029841,0.006690,-0.000632,0.281922,0.119172,-0.168326,-0.087658,-0.098437,0.226915,-0.119401,0.020537,0.699979,-0.000742,0.000017,0.002515,-0.001006,-0.001672,0.001276,-0.000241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-0.242827,0.224749,0.200338,-0.052754,-0.155006,0.203356,-0.106664,0.019594,-0.180878,-0.327019,0.241360,0.598245,-1.904417,2.049899,-0.920525,0.147037,0.699883,0.000528,0.001422,-0.003267,-0.000439,0.003439,-0.001994,0.000346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
